Item ID,source,Notes,Location,Value,Inventory Date,Selected File Placeholder,Artist Name,Title,Series,Type,Date_Year,Medium,Signatures_and_Writing,Condition,Category,Size H in,Size W in,Size D in,Size Note,Size Units,Dimensions,Selected File Container,File 1 Container,File 2 Container,File 3 Container,File 4 Container,File 5 Container,Owner ID,Exhibited Data::Unique Combo,Exhibited Data::Exhibition ID MATCH FIELD,Exhibitions::Exhibition Name,Owners::Name,Duration,Filming Location
AT.P.0007,Aldo foundation,,Rack 2,,05/09/2013,No Picture Selected,Aldo Tambellini,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo T 88""",,Painting,32,39.625,,,in,,,,,,,,,,,,,,
AT.P.0008,Aldo foundation,,Rack 2,,05/09/2013,No Picture Selected,Aldo Tambellini,A-430, Black Energy Suspended Series,,,"acrylic, wax, graphite on architectural paper","Recto: LR ""Aldo Tambellini '89"" ",,Painting,29.875,42,,,in,,,,,,,,,,,,,,
AT.P.0009,Aldo foundation,,Rack 3,,05/09/2013,No Picture Selected,Aldo Tambellini,L-1, Black Energy Suspended Series,,,acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89"" ",Frame chipped,Painting,29.875,42,,,in,,,,,,,,,,,,,,
AT.P.0010,Aldo foundation,,Rack 3,,05/09/2013,No Picture Selected,Aldo Tambellini,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini '88""",,Painting,31.75,39.75,,,in,,,,,,,,,,,,,,
AT.P.0013,Aldo foundation,,Rack 4,,05/09/2013,No Picture Selected,Aldo Tambellini,Black 4, Black Is Series,,,graphite and wax on cardboard,,,Painting,31.75,39.75,,,in,,,,,,,,,,,,,,
AT.P.0014,Aldo foundation,,Rack 4,,05/09/2013,No Picture Selected,Aldo Tambellini,GA-500, Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,in,,,,,,,,,,,,,,
AT.P.0019,Aldo foundation,,Rack 5,,05/09/2013,No Picture Selected,Aldo Tambellini,AD-00, Black Energy Suspended Series,,,acrylic and graphite on architectural paper/ polaroid stapled to paper,"Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,in,,,,,,,,,,,,,,
AT.P.0020,Aldo foundation,,Rack 5,,05/09/2013,No Picture Selected,Aldo Tambellini,?(3), Destruction,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini 88""",,Painting,31.75,39.75,,,in,,,,,,,,,,,,,,
AT.P.0023,Aldo foundation,,Rack 6,,05/09/2013,No Picture Selected,Aldo Tambellini,Untitled,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30.125,51.25,,,in,,,,,,,,,,,,,,
AT.P.0024,Aldo foundation,,Rack 6,,05/09/2013,No Picture Selected,Aldo Tambellini,Eclipse 2,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30.125,75.375,,,in,,,,,,,,,,,,,,
AT.P.0026,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,Black Energy 3, Black Energy Burns with Fire,,,Duco and acrylic on cardboard,"LR: ""Aldo Tambellini '62""",,Painting,30.125,40,,,in,,,,,,,,,,,,,,
AT.P.0027,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,Untitled,,,?,Duco and acrylic on masonite,"Verso: ""A. Tambelllini top""",,Painting,45,35.375,,,in,,,,,,,,,,,,,,
AT.P.0028,Aldo foundation,,Rack 6,,05/09/2013,No Picture Selected,Aldo Tambellini,Untitled,,,,Duco and acrylic on masonite,"LC: ""A.Tambellini""",,Painting,45,35.375,,,in,,,,,,,,,,,,,,
AT.P.0030,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,,Destruction Series II ,,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 88""",,Painting,20,30,,,in,,,,,,,,,,,,,,
AT.P.0031,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,Destruction, Destruction II Series,,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 89""",,Painting,31.75,39.75,,,in,,,,,,,,,,,,,,
AT.P.0035,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,B ? , Suspended,,,acrylic and graphite on architectural paper,"LR: ""Aldo Tambellini '89""",Frame damage,Painting,29.75,41.75,,,in,,,,,,,,,,,,,,
AT.P.0037,Aldo foundation,,Rack 7,,05/09/2013,AT.P.37.jpg,Aldo Tambellini,BS-1, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,25.75,,,,in,,AT.P.37.jpg,"remote:AT.P.37.jpg
size:1632,1224
JPEG:AT.P.37_8.jpg",,,,,,,,,,,
